image_name,image_path,source_type,processing_channel,method,attack,level,mse,psnr,ssim,nc,ber
house_color,data/misc/house.tiff,color,Y,dft,jpeg,90.0,7.495705074734158,39.38267870359493,0.9848746776634814,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dft,jpeg,70.0,31.974998050265846,33.082698341991204,0.9441481341366245,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dft,jpeg,50.0,57.24815368652344,30.55318876086286,0.9059014260302563,0.99755859375,0.001220703125
house_color,data/misc/house.tiff,color,Y,dft,jpeg,30.0,95.27897093031143,28.340833030071767,0.8537065925563108,0.9931640625,0.00341796875
house_color,data/misc/house.tiff,color,Y,dft,noise,5.0,24.99076885647244,34.1530074319737,0.9391753301705871,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dft,noise,10.0,98.60061009724939,28.192007586949636,0.8165615640239078,0.99951171875,0.000244140625
house_color,data/misc/house.tiff,color,Y,dft,noise,20.0,384.6104185316298,22.280593164061358,0.5959544490742942,0.984375,0.0078125
house_color,data/misc/house.tiff,color,Y,dft,resize,0.5,307.1230901082358,23.2576789209783,0.6833846052634156,0.77734375,0.111328125
house_color,data/misc/house.tiff,color,Y,dft,resize,0.75,146.326668633355,26.477568755846722,0.8599991155463186,0.99951171875,0.000244140625
house_color,data/misc/house.tiff,color,Y,dft,resize,1.5,45.42692565917968,31.557670146417195,0.9586719169789485,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dct,jpeg,90.0,5.011586507161459,41.13105129564577,0.9822696223025296,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dct,jpeg,70.0,16.177282545301647,36.041747901118995,0.958456630635553,0.408203125,0.2958984375
house_color,data/misc/house.tiff,color,Y,dct,jpeg,50.0,25.77146826850043,34.01941198710381,0.9393460639551809,0.353515625,0.3232421875
house_color,data/misc/house.tiff,color,Y,dct,jpeg,30.0,39.02334552341037,32.21755861568687,0.9140378436184667,0.37109375,0.314453125
house_color,data/misc/house.tiff,color,Y,dct,noise,5.0,25.348910013834633,34.09121071169137,0.8732757214399884,0.90234375,0.048828125
house_color,data/misc/house.tiff,color,Y,dct,noise,10.0,100.15199025472006,28.12420776703577,0.6863617871854436,0.60546875,0.197265625
house_color,data/misc/house.tiff,color,Y,dct,noise,20.0,391.59233474731445,22.202461787825843,0.4499231583717407,0.341796875,0.3291015625
house_color,data/misc/house.tiff,color,Y,dct,resize,0.5,96.10026338365343,28.30355782919338,0.8835316500720473,0.19140625,0.404296875
house_color,data/misc/house.tiff,color,Y,dct,resize,0.75,42.45549816555447,31.851464196839892,0.9467873641089739,0.974609375,0.0126953125
house_color,data/misc/house.tiff,color,Y,dct,resize,1.5,12.021681891547308,37.331151290481124,0.9837697497003592,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,jpeg,90.0,4.910369025336371,41.21966229306051,0.9836267764115694,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,jpeg,70.0,15.995660993787975,36.090781695879315,0.9612540006189387,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,jpeg,50.0,25.672123379177517,34.036185695738865,0.9419993034839403,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,jpeg,30.0,39.02127371893988,32.21778919487556,0.9166969038345311,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,noise,5.0,25.348744286431206,34.091239105311466,0.8721222002417937,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,noise,10.0,100.15200720893014,28.12420703184127,0.6850319295668553,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,noise,20.0,391.5999823676215,22.202376972915722,0.44927589803856177,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,resize,0.5,96.12547471788194,28.302418632797753,0.8862398459768209,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,resize,0.75,42.45777723524305,31.851231067830277,0.9478464338155536,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,resize,1.5,11.997801038953991,37.339787051668615,0.9843566450467227,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,jpeg,90.0,13.03341590033637,36.980221069170085,0.9843004516483498,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,jpeg,70.0,65.66595289442274,29.957401100711316,0.9404254961591977,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,jpeg,50.0,116.70955530802406,27.459739465734824,0.9027684330165948,0.99853515625,0.000732421875
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,jpeg,30.0,186.07845984564892,25.433842580842683,0.851277248536031,0.986328125,0.0068359375
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,noise,5.0,25.028104146321606,34.146524073833206,0.9674797860160393,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,noise,10.0,98.46460300021701,28.19800226659815,0.8921438798808656,0.99951171875,0.000244140625
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,noise,20.0,383.51494344075525,22.292980702167505,0.7193219369408858,0.98193359375,0.009033203125
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,resize,0.5,541.0639987521703,20.798317230052366,0.5969523282036475,0.47265625,0.263671875
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,resize,0.75,285.39965226915155,23.576269212332228,0.8017289253280377,0.88037109375,0.059814453125
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,resize,1.5,92.81224865383571,28.454750659880453,0.9404719286045137,0.99609375,0.001953125
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,jpeg,90.0,12.681934356689453,37.09894859974808,0.9761585379735983,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,jpeg,70.0,58.302049001057945,30.47396542743276,0.9266551800401366,0.376953125,0.3115234375
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,jpeg,50.0,97.57429080539276,28.237449574652143,0.8909494510770815,0.1171875,0.44140625
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,jpeg,30.0,146.35717858208554,26.476663321361634,0.8450839411487595,0.083984375,0.4580078125
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,noise,5.0,25.35225762261285,34.0906372148313,0.9476479748717997,0.904296875,0.0478515625
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,noise,10.0,99.75333616468642,28.141529316601467,0.8413431488429071,0.60546875,0.197265625
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,noise,20.0,389.15600289238824,22.229566268593448,0.638400443697201,0.33203125,0.333984375
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,resize,0.5,311.0610694885254,23.20234700014028,0.6869334930376344,-0.00390625,0.501953125
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,resize,0.75,174.066224416097,25.723658515125166,0.832618133863393,0.689453125,0.1552734375
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,resize,1.5,57.19905344645182,30.55691518899784,0.9477990495309733,0.943359375,0.0283203125
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,jpeg,90.0,12.68436770968967,37.09811537480185,0.9761482282015047,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,jpeg,70.0,58.282131618923614,30.475449335316842,0.9267414686280466,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,jpeg,50.0,97.68336020575627,28.23259770396705,0.8910627874705106,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,jpeg,30.0,147.10104327731665,26.45464608004588,0.8451181952478947,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,noise,5.0,25.35341983371311,34.090438127907284,0.9476309400260956,1.0,0.0
